G,element_length,p,f_int[0],f_int[1],f_ext[0],kte[00],kte[01],kte[11]
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999995e+03,-1.8990187582825706e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825713e+03,-9.696103918189527e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189513e+02,1.4334285313322827e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825624e+03,-9.696103918189425e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999995e+03,-1.8990187582825706e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825713e+03,-9.696103918189527e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189513e+02,1.4334285313322827e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825624e+03,-9.696103918189425e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
52232.2968005932,1,35.0,7.000000000000001e+02,-4.747546895706449e+02,1400.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,35.0,4.747546895706424e+02,-2.4240259795473963e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,35.0,2.4240259795473537e+02,1.4486314148827708e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,52.5,1.3999999999999989e+03,-9.495093791412863e+02,2100.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,52.5,9.495093791412872e+02,-4.848051959094801e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,52.5,4.848051959094706e+02,4.797817443893845e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.0999999999999977e+03,-1.4242640687119276e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.4242640687119313e+03,-7.272077938642195e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,7.27207793864213e+02,-2.1498169297053076e-13,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000007e+03,-1.8990187582825813e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.8990187582825672e+03,-9.696103918189502e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.696103918189494e+02,1.7243130972853224e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.8000000000000064e+03,-1.8990187582825788e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282566e+03,-9.696103918189467e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.696103918189503e+02,2.62572832426347e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.8990187582825647e+03,-9.696103918189448e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.696103918189541e+02,-1.6927632339722047e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
52232.2968005932,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,1347098.0124355343,-1524140.7363385565,1764956.3868402797
52232.2968005932,2,70,1.899018758282572e+03,-9.696103918189533e+02,0.0,1165673.8586652197,-1338401.2372461827,1583532.2330699654
52232.2968005932,3,70,9.69610391818955e+02,-2.8920433240585357e-12,0.0,1037777.3950901302,-1206673.7920768417,1455635.769494876
139027.61475044055,1,35.0,6.999999999999986e+02,-4.747546895706422e+02,1400.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,35.0,4.747546895706415e+02,-2.424025979547376e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,35.0,2.4240259795473764e+02,-2.777485255165315e-13,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,52.5,1.399999999999996e+03,-9.495093791412826e+02,2100.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,52.5,9.495093791412858e+02,-4.8480519590947745e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,52.5,4.8480519590947614e+02,-7.009393340095827e-13,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.1e+03,-1.4242640687119292e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.4242640687119294e+03,-7.272077938642162e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,7.272077938642129e+02,1.0851508123492473e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.799999999999998e+03,-1.89901875828257e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.8990187582825731e+03,-9.696103918189552e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189481e+02,4.302073088928727e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.7999999999999977e+03,-1.899018758282569e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.8990187582825697e+03,-9.696103918189515e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.69610391818954e+02,-1.478661936725743e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
139027.61475044055,1,70,2.800000000000002e+03,-1.8990187582825731e+03,2800.0,1950895.0506202779,-2051806.4926413042,2238569.392949767
139027.61475044055,2,70,1.899018758282572e+03,-9.696103918189536e+02,0.0,1706660.8747644867,-1801762.975601535,1994335.2170939762
139027.61475044055,3,70,9.696103918189506e+02,2.411627027017008e-12,0.0,1534485.96460518,-1624430.7773251494,1822160.3069346698
35859.67839102142,1,35.0,7.000000000000016e+02,-4.7475468957064453e+02,1400.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,35.0,4.747546895706412e+02,-2.4240259795473636e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,35.0,2.424025979547367e+02,1.5807142205562973e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,52.5,1.4000000000000005e+03,-9.495093791412866e+02,2100.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,52.5,9.495093791412858e+02,-4.8480519590947654e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,52.5,4.8480519590947563e+02,7.489076666296467e-13,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.1e+03,-1.4242640687119288e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.4242640687119247e+03,-7.272077938642103e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,7.272077938642141e+02,6.864335340076169e-13,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.7999999999999936e+03,-1.899018758282564e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825708e+03,-9.69610391818952e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189513e+02,1.4978153332592933e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.8000000000000036e+03,-1.899018758282576e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.899018758282574e+03,-9.69610391818956e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189513e+02,1.4978153332592933e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.8000000000000095e+03,-1.8990187582825808e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.899018758282566e+03,-9.696103918189466e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189548e+02,-1.9347857198392404e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.800000000000001e+03,-1.8990187582825731e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825715e+03,-9.696103918189531e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189531e+02,-6.936238468220494e-13,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.799999999999999e+03,-1.8990187582825708e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825665e+03,-9.696103918189469e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189553e+02,-2.634496116350493e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.799999999999999e+03,-1.8990187582825708e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825708e+03,-9.69610391818952e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189513e+02,1.4978153332592933e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.8000000000000095e+03,-1.8990187582825808e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189506e+02,2.8832755319715118e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.799999999999995e+03,-1.8990187582825663e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825745e+03,-9.696103918189564e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189543e+02,-2.449880135255325e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.7999999999999936e+03,-1.899018758282564e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
35859.67839102142,2,70,1.8990187582825708e+03,-9.69610391818952e+02,0.0,557429.3520881942,-612579.3281887387,700868.0656522799
35859.67839102142,3,70,9.696103918189513e+02,1.4978153332592933e-12,0.0,498891.8017974118,-552288.3574243331,642330.5153614975
35859.67839102142,1,70,2.8000000000000036e+03,-1.899018758282576e+03,2800.0,640466.2495005861,-697591.3368493306,783904.963064672
