eps11,eps22,epspk11,epspk22,Alpha_k11,Alpha_k22,alpha_k,epspk_out11,epspk_out22,Alpha_k_out11,Alpha_k_out22,alpha_k_out,sigma_out11,sigma_out22,C_out11,C_out12,C_out22,C_out23,C_out44
0.008000000000000004,-0.003504735682819385,0.006057268722466963,-0.0030286343612334816,0.006057268722466963,-0.003028634361233481,0.006057268722466963,0.006368278467438973,-0.0031841392337194864,0.006368278467438973,-0.003184139233719486,0.006368278467438973,409.43952186220946,101.17878791574694,212931.90716054206,202357.5758314937,266612.5830611355,148676.8999309002,58967.84156511765
0.008000000000000004,-0.0037483700440528655,0.006368278467438973,-0.0031841392337194864,0.006368278467438973,-0.003184139233719486,0.006368278467438973,0.006519823788546259,-0.0032599118942731294,0.006519823788546259,-0.003259911894273129,0.006519823788546259,310.8370044052863,-1.2789769243681803e-13,212931.90716054203,202357.5758314937,275312.0714343006,139977.4115577351,67667.32993828277
0.008500000000000004,-0.003748370044052865,0.006519823788546259,-0.0032599118942731294,0.006519823788546259,-0.003259911894273129,0.006519823788546259,0.006830833533518268,-0.003415416766759134,0.0068308335335182675,-0.0034154167667591337,0.0068308335335182675,417.30295798555767,101.17878791574707,212931.90716054203,202357.5758314937,266675.88472085824,148613.5982711775,59031.14322484037
0.008500000000000004,-0.003992004405286346,0.006830833533518268,-0.003415416766759134,0.0068308335335182675,-0.0034154167667591337,0.0068308335335182675,0.006982378854625554,-0.003491189427312777,0.0069823788546255535,-0.0034911894273127768,0.0069823788546255535,318.7004405286344,-2.842170943040401e-14,212931.90716054203,202357.5758314937,275353.45987489505,139936.02311714066,67708.7183788772
0.009000000000000005,-0.003992004405286346,0.006982378854625554,-0.003491189427312777,0.0069823788546255535,-0.0034911894273127768,0.0069823788546255535,0.007293388599597563,-0.0036466942997987815,0.007293388599597562,-0.003646694299798781,0.007293388599597562,425.1663941089055,101.17878791574694,212931.90716054203,202357.5758314937,266738.78652682574,148550.69646521,59094.04503080785
0.009000000000000005,-0.004235638766519826,0.007293388599597563,-0.0036466942997987815,0.007293388599597562,-0.003646694299798781,0.007293388599597562,0.00744493392070485,-0.003722466960352425,0.007444933920704849,-0.0037224669603524245,0.007444933920704849,326.5638766519825,8.526512829121202e-14,212931.90716054203,202357.5758314937,275394.5457029254,139894.93728911033,67749.80420690753
0.009500000000000005,-0.004235638766519826,0.00744493392070485,-0.003722466960352425,0.007444933920704849,-0.0037224669603524245,0.007444933920704849,0.007755943665676859,-0.0038779718328384293,0.007755943665676858,-0.003877971832838429,0.007755943665676858,433.02983023225363,101.17878791574702,212931.90716054203,202357.5758314937,266801.292255708,148488.19073632773,59156.55075969014
0.009500000000000005,-0.004479273127753306,0.007755943665676859,-0.0038779718328384293,0.007755943665676858,-0.003877971832838429,0.007755943665676858,0.007907488986784146,-0.003953744493392073,0.007907488986784145,-0.003953744493392072,0.007907488986784145,334.4273127753304,2.842170943040401e-14,212931.9071605421,202357.57583149368,275435.33222514146,139854.15076689425,67790.59072912359
0.010000000000000005,-0.004479273127753306,0.007907488986784146,-0.003953744493392073,0.007907488986784145,-0.003953744493392072,0.007907488986784145,0.008218498731756155,-0.0041092493658780775,0.008218498731756153,-0.004109249365878077,0.008218498731756153,440.89326635560167,101.17878791574714,212931.90716054203,202357.5758314937,266863.40563676285,148426.07735527286,59218.66414074501
0.010000000000000005,-0.004722907488986787,0.008218498731756155,-0.0041092493658780775,0.008218498731756153,-0.004109249365878077,0.008218498731756153,0.008370044052863441,-0.004185022026431721,0.00837004405286344,-0.00418502202643172,0.00837004405286344,342.29074889867843,-7.105427357601002e-14,212931.90716054197,202357.5758314937,275475.82270028925,139813.66029174646,67831.08120427138
0.010500000000000006,-0.004722907488986787,0.008370044052863441,-0.004185022026431721,0.00837004405286344,-0.00418502202643172,0.00837004405286344,0.008681053797835452,-0.004340526898917726,0.00868105379783545,-0.004340526898917725,0.00868105379783545,448.7567024789495,101.1787879157469,212931.90716054203,202357.5758314937,266925.1303525774,148364.35263945832,59280.38885655956
0.010500000000000006,-0.004966541850220267,0.008681053797835452,-0.004340526898917726,0.00868105379783545,-0.004340526898917725,0.00868105379783545,0.008832599118942736,-0.004416299559471368,0.008832599118942734,-0.004416299559471367,0.008832599118942734,350.1541850220265,4.263256414560601e-14,212931.90716054203,202357.5758314937,275516.0203399787,139773.46265205703,67871.27884396083
0.011000000000000006,-0.004966541850220267,0.008832599118942736,-0.004416299559471368,0.008832599118942734,-0.004416299559471367,0.008832599118942734,0.009143608863914746,-0.004571804431957373,0.009143608863914745,-0.004571804431957372,0.009143608863914745,456.62013860229763,101.17878791574698,212931.90716054203,202357.5758314937,266986.4700397963,148303.0129522394,59341.728543778474
0.011000000000000006,-0.005210176211453747,0.009143608863914746,-0.004571804431957373,0.009143608863914745,-0.004571804431957372,0.009143608863914745,0.009295154185022032,-0.004647577092511016,0.00929515418502203,-0.004647577092511015,0.00929515418502203,358.0176211453747,1.2789769243681803e-13,212931.907160542,202357.5758314937,275555.92830953316,139733.55468250258,67911.18681351529
0.011500000000000007,-0.005210176211453747,0.009295154185022032,-0.004647577092511016,0.00929515418502203,-0.004647577092511015,0.00929515418502203,0.009606163929994043,-0.004803081964997021,0.009606163929994041,-0.0048030819649970205,0.009606163929994041,464.4835747256458,101.17878791574708,212931.90716054203,202357.5758314937,267047.42828983563,148242.0547022001,59402.68679381774
0.011500000000000007,-0.005453810572687228,0.009606163929994043,-0.004803081964997021,0.009606163929994041,-0.0048030819649970205,0.009606163929994041,0.009757709251101329,-0.004878854625550664,0.009757709251101327,-0.0048788546255506635,0.009757709251101327,365.88105726872243,-1.1368683772161603e-13,212931.90716054203,202357.5758314937,275595.54972882033,139693.93326321538,67950.80823280249
0.012000000000000007,-0.005453810572687228,0.009757709251101329,-0.004878854625550664,0.009757709251101327,-0.0048788546255506635,0.009757709251101327,0.010068718996073337,-0.005034359498036669,0.010068718996073336,-0.005034359498036668,0.010068718996073336,472.3470108489936,101.17878791574682,212931.90716054203,202357.5758314937,267108.00864958356,148181.4743424522,59463.26715356569
0.012000000000000007,-0.005697444933920708,0.010068718996073337,-0.005034359498036669,0.010068718996073336,-0.005034359498036668,0.010068718996073336,0.010220264317180624,-0.005110132158590312,0.010220264317180622,-0.005110132158590311,0.010220264317180622,373.7444933920706,-2.842170943040401e-14,212931.90716054203,202357.5758314937,275634.8876730652,139654.59531897056,67990.14617704731
0.012500000000000008,-0.005697444933920708,0.010220264317180624,-0.005110132158590312,0.010220264317180622,-0.005110132158590311,0.010220264317180622,0.010531274062152632,-0.005265637031076316,0.01053127406215263,-0.005265637031076315,0.01053127406215263,480.21044697234163,101.17878791574694,212931.90716054203,202357.5758314937,267168.2146220889,148121.26836994686,59523.47312607102
0.012500000000000008,-0.005941079295154189,0.010531274062152632,-0.005265637031076316,0.01053127406215263,-0.005265637031076315,0.01053127406215263,0.01068281938325992,-0.00534140969162996,0.010682819383259918,-0.005341409691629959,0.010682819383259918,381.6079295154187,8.526512829121202e-14,212931.90716054203,202357.5758314937,275673.94517364533,139615.5378183904,68029.20367762746
0.013000000000000008,-0.005941079295154189,0.01068281938325992,-0.00534140969162996,0.010682819383259918,-0.005341409691629959,0.010682819383259918,0.010993829128231929,-0.005496914564115964,0.010993829128231927,-0.0054969145641159635,0.010993829128231927,488.0738830956898,101.17878791574702,212931.90716054203,202357.5758314937,267228.04966723616,148061.43332479955,59583.30817121832
0.013000000000000008,-0.00618471365638767,0.010993829128231929,-0.005496914564115964,0.010993829128231927,-0.0054969145641159635,0.010993829128231927,0.011145374449339215,-0.005572687224669607,0.011145374449339213,-0.0055726872246696065,0.011145374449339213,389.47136563876643,-1.7053025658242404e-13,212931.90716054203,202357.5758314937,275712.7252188703,139576.7577731654,68067.98372285247
0.013500000000000009,-0.00618471365638767,0.011145374449339215,-0.005572687224669607,0.011145374449339213,-0.0055726872246696065,0.011145374449339213,0.011456384194311223,-0.005728192097155612,0.011456384194311222,-0.005728192097155611,0.011456384194311222,495.9373192190376,101.17878791574674,212931.90716054203,202357.5758314937,267287.51720240817,148001.96578962757,59642.775706390275
0.013500000000000009,-0.00642834801762115,0.011456384194311223,-0.005728192097155612,0.011456384194311222,-0.005728192097155611,0.011456384194311222,0.011607929515418511,-0.005803964757709256,0.01160792951541851,-0.005803964757709255,0.01160792951541851,397.3348017621146,-5.684341886080802e-14,212931.90716054203,202357.5758314937,275751.2307547431,139538.25223729265,68106.48925872523
0.014000000000000009,-0.00642834801762115,0.011607929515418511,-0.005803964757709256,0.01160792951541851,-0.005803964757709255,0.01160792951541851,0.01191893926039052,-0.00595946963019526,0.011918939260390518,-0.005959469630195259,0.011918939260390518,503.8007553423857,101.17878791574685,212931.907160542,202357.5758314937,267346.6206031367,147942.86238889897,59701.87910711888
0.014000000000000009,-0.00667198237885463,0.01191893926039052,-0.00595946963019526,0.011918939260390518,-0.005959469630195259,0.011918939260390518,0.012070484581497806,-0.006035242290748903,0.012070484581497804,-0.006035242290748902,0.012070484581497804,405.19823788546273,2.842170943040401e-14,212931.90716054203,202357.5758314937,275789.4646857068,139500.01830632897,68144.7231896889
0.01450000000000001,-0.00667198237885463,0.012070484581497806,-0.006035242290748903,0.012070484581497804,-0.006035242290748902,0.012070484581497804,0.012381494326469815,-0.006190747163234907,0.012381494326469813,-0.006190747163234906,0.012381494326469813,511.6641914657338,101.17878791574697,212931.90716054203,202357.5758314937,267405.36320374155,147884.1197882942,59760.62170772366
0.01450000000000001,-0.00691561674008811,0.012381494326469815,-0.006190747163234907,0.012381494326469813,-0.006190747163234906,0.012381494326469813,0.0125330396475771,-0.00626651982378855,0.012533039647577099,-0.0062665198237885494,0.012533039647577099,413.06167400881077,1.4210854715202004e-13,212931.90716054203,202357.5758314937,275827.42987537413,139462.05311666158,68182.68837935627
0.01500000000000001,-0.00691561674008811,0.0125330396475771,-0.00626651982378855,0.012533039647577099,-0.0062665198237885494,0.012533039647577099,0.01284404939254911,-0.006422024696274555,0.012844049392549108,-0.006422024696274554,0.012844049392549108,519.5276275890819,101.17878791574711,212931.90716054203,202357.5758314937,267463.7482979569,147825.73469407886,59819.006801939024
0.01500000000000001,-0.007159251101321591,0.01284404939254911,-0.006422024696274555,0.012844049392549108,-0.006422024696274554,0.012844049392549108,0.012995594713656397,-0.0064977973568281985,0.012995594713656395,-0.006497797356828198,0.012995594713656395,420.9251101321584,-3.126388037344441e-13,212931.90716054203,202357.5758314937,275865.12914724345,139424.35384479226,68220.38765122561
0.01550000000000001,-0.00715925110132159,0.012995594713656397,-0.0064977973568281985,0.012995594713656395,-0.006497797356828198,0.012995594713656395,0.013306604458628406,-0.006653302229314203,0.013306604458628404,-0.006653302229314202,0.013306604458628404,527.3910637124301,101.1787879157472,212931.907160542,202357.5758314937,267521.7791395477,147767.70385248796,59877.0376435299
0.01550000000000001,-0.007402885462555071,0.013306604458628406,-0.006653302229314203,0.013306604458628404,-0.006653302229314202,0.013306604458628404,0.013458149779735692,-0.006729074889867846,0.01345814977973569,-0.006729074889867845,0.01345814977973569,428.7885462555065,-1.9895196601282805e-13,212931.907160542,202357.5758314937,275902.5652853979,139386.9177066378,68257.82378938007
0.01600000000000001,-0.00740288546255507,0.013458149779735692,-0.006729074889867846,0.01345814977973569,-0.006729074889867845,0.01345814977973569,0.0137691595247077,-0.00688457976235385,0.013769159524707699,-0.006884579762353849,0.013769159524707699,535.2544998357781,101.17878791574731,212931.90716054203,202357.5758314937,267579.4589429137,147710.02404912206,59934.71744689581
0.01600000000000001,-0.007646519823788551,0.0137691595247077,-0.00688457976235385,0.013769159524707699,-0.006884579762353849,0.013769159524707699,0.013920704845814987,-0.006960352422907493,0.013920704845814985,-0.006960352422907492,0.013920704845814985,436.65198237885465,-8.526512829121202e-14,212931.90716054203,202357.5758314937,275939.741035191,139349.74195684475,68294.99953917309
0.01650000000000001,-0.007646519823788551,0.013920704845814987,-0.006960352422907493,0.013920704845814985,-0.006960352422907492,0.013920704845814985,0.014231714590786999,-0.007115857295393499,0.014231714590786997,-0.0071158572953934985,0.014231714590786997,543.1179359591258,101.17878791574685,212931.90716054203,202357.5758314937,267636.79088368267,147652.69210835305,59992.04938766482
0.01650000000000001,-0.007890154185022032,0.014231714590786999,-0.007115857295393499,0.014231714590786997,-0.0071158572953934985,0.014231714590786997,0.014383259911894283,-0.0071916299559471415,0.014383259911894281,-0.007191629955947141,0.014383259911894281,444.5154185022026,-1.7053025658242404e-13,212931.90716054203,202357.5758314937,275976.6591039179,139312.82388811783,68331.91760790003
0.01700000000000001,-0.007890154185022032,0.014383259911894283,-0.0071916299559471415,0.014383259911894281,-0.007191629955947141,0.014383259911894281,0.014694269656866293,-0.007347134828433147,0.014694269656866292,-0.007347134828433146,0.014694269656866292,550.9813720824737,101.17878791574677,212931.90716054203,202357.5758314937,267693.77809929434,147595.7048927414,60049.036603276465
0.01700000000000001,-0.008133788546255512,0.014694269656866293,-0.007347134828433147,0.014694269656866292,-0.007347134828433146,0.014694269656866292,0.014845814977973578,-0.007422907488986789,0.014845814977973576,-0.007422907488986788,0.014845814977973576,452.37885462555073,-8.526512829121202e-14,212931.90716054203,202357.5758314937,276013.3221614723,139276.16083056346,68368.58066545441
0.017500000000000012,-0.008133788546255512,0.014845814977973578,-0.007422907488986789,0.014845814977973576,-0.007422907488986788,0.014845814977973576,0.015156824722945588,-0.007578412361472794,0.015156824722945586,-0.007578412361472793,0.015156824722945586,558.8448082058219,101.17878791574688,212931.90716054203,202357.5758314937,267750.42368957115,147539.0593024646,60105.682193553264
0.017500000000000012,-0.008377422907488993,0.015156824722945588,-0.007578412361472794,0.015156824722945586,-0.007578412361472793,0.015156824722945586,0.015308370044052874,-0.007654185022026437,0.015308370044052872,-0.007654185022026436,0.015308370044052872,460.2422907488989,5.684341886080802e-14,212931.90716054203,202357.5758314937,276049.73284099065,139239.7501510451,68404.99134497275
0.018000000000000013,-0.008377422907488993,0.015308370044052874,-0.007654185022026437,0.015308370044052872,-0.007654185022026436,0.015308370044052872,0.015619379789024885,-0.007809689894512442,0.015619379789024883,-0.007809689894512441,0.015619379789024883,566.7082443291699,101.17878791574697,212931.90716054203,202357.5758314937,267806.7307172817,147482.752274754,60161.98922126385
0.018000000000000013,-0.008621057268722473,0.015619379789024885,-0.007809689894512442,0.015619379789024883,-0.007809689894512441,0.015619379789024883,0.01577092511013217,-0.007885462555066084,0.01577092511013217,-0.007885462555066084,0.01577092511013217,468.10572687224703,1.4210854715202004e-13,212931.90716054203,202357.5758314937,276085.89373948216,139203.5892525536,68441.15224346427
0.018500000000000013,-0.008621057268722473,0.01577092511013217,-0.007885462555066084,0.01577092511013217,-0.007885462555066084,0.01577092511013217,0.01608193485510418,-0.00804096742755209,0.016081934855104178,-0.008040967427552089,0.016081934855104178,574.5716804525181,101.17878791574708,212931.90716054203,202357.5758314937,267862.702208692,147426.78078334377,60217.96071267411
0.018500000000000013,-0.008864691629955953,0.01608193485510418,-0.00804096742755209,0.016081934855104178,-0.008040967427552089,0.016081934855104178,0.016233480176211464,-0.008116740088105732,0.01623348017621146,-0.00811674008810573,0.01623348017621146,475.96916299559507,2.5579538487363607e-13,212931.90716054203,202357.5758314937,276121.8074184462,139167.67557358957,68477.06592242829
0.019000000000000013,-0.008864691629955953,0.016233480176211464,-0.008116740088105732,0.01623348017621146,-0.00811674008810573,0.01623348017621146,0.016544489921183476,-0.008272244960591738,0.016544489921183472,-0.008272244960591736,0.016544489921183472,582.4351165758662,101.17878791574717,212931.90716054203,202357.5758314937,267918.3411541078,147371.14183792792,60273.59965808994
0.019000000000000013,-0.009108325991189433,0.016544489921183476,-0.008272244960591738,0.016544489921183472,-0.008272244960591736,0.016544489921183472,0.01669603524229076,-0.00834801762114538,0.016696035242290755,-0.008348017621145377,0.016696035242290755,483.8325991189432,3.694822225952521e-13,212931.90716054203,202357.5758314937,276157.47640447726,139132.00658755848,68512.73490845937
0.019500000000000014,-0.009108325991189435,0.01669603524229076,-0.00834801762114538,0.016696035242290755,-0.008348017621145377,0.016696035242290755,0.01700704498726277,-0.008503522493631385,0.017007044987262767,-0.008503522493631384,0.017007044987262767,590.2985526992136,101.1787879157466,212931.90716054203,202357.5758314937,267973.6505084075,147315.83248362824,60328.90901238962
0.019500000000000014,-0.009351960352422915,0.01700704498726277,-0.008503522493631385,0.017007044987262767,-0.008503522493631384,0.017007044987262767,0.01715859030837006,-0.00857929515418503,0.017158590308370057,-0.008579295154185028,0.017158590308370057,491.6960352422907,-2.8421709430404007e-13,212931.90716054203,202357.5758314937,276192.9031898575,139096.57980217825,68548.16169383962
